178461	1
193628	1
263200	1
392690	1
503825	1
509670	1
550831	1
591380	1
591380	1
594935	1
597857	1
601010	1
612035	1
615460	1
615949	1
617148	1
619817	1
619973	1
768349	1
788917	1
793788	1
794155	1
794298	1
796210	1
796894	1
798798	1
799053	1
802349	1
802848	1
802947	1
803855	1
804016	1
804205	1
805929	1
806205	1
806205	1
806425	1
807627	1
808512	1
809045	1
809248	1
809447	1
809505	1
810621	1
810621	1
810639	1
811310	1
811405	1
811495	1
812324	1
842393	1
904489	1
907907	1
908041	1
908490	1
917088	1
917118	1
917856	1
918528	1
918614	1
919894	1
945797	1
948275	1
973261	1
987949	1
996589	1
1030622	1
1033375	1
1033736	1
1033899	1
1056508	1
1085639	1
1085867	1
1086071	1
1088233	1
1088563	1
1109363	1
1110336	1
1125780	1
1135824	1
1136417	1
1139141	1
1139170	1
1139234	1
1139488	1
1165565	1
1175399	1
1190063	1
1190346	1
1191478	1
1195034	1
1195148	1
1195242	1
1211199	1
1220752	1
1240366	1
1295164	1
1356998	1
1408161	1
1421040	1
2634153	1
1349894	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
